PIN,geom,PROPERTYHOUSENUM__asmt,PROPERTYFRACTION__asmt,PROPERTYADDRESS__asmt,PROPERTYCITY__asmt,PROPERTYSTATE__asmt,PROPERTYUNIT__asmt,PROPERTYZIP__asmt,MUNIDESC__asmt,SCHOOLDESC__asmt,NEIGHDESC__asmt,OWNERDESC__asmt,CLASSDESC__asmt,USEDESC__asmt,LOTAREA__asmt,RECORDDATE__asmt,SALEDATE__asmt,SALEPRICE__asmt,SALECODE__asmt,SALEDESC__asmt,PREVSALEDATE__asmt,PREVSALEPRICE__asmt,PREVSALEDATE2__asmt,PREVSALEPRICE2__asmt,FAIRMARKETTOTAL__asmt,STYLEDESC__asmt,STORIES__asmt,YEARBLT__asmt,EXTFINISH_DESC__asmt,ROOFDESC__asmt,BASEMENTDESC__asmt,GRADE__asmt,GRADEDESC__asmt,CONDITIONDESC__asmt,CDUDESC__asmt,TOTALROOMS__asmt,BEDROOMS__asmt,FULLBATHS__asmt,HALFBATHS__asmt,HEATINGCOOLINGDESC__asmt,FIREPLACES__asmt,BSMTGARAGE__asmt,FINISHEDLIVINGAREA__asmt,CARDNUMBER__asmt,ALT_ID__asmt,TAXYEAR__asmt
0167A00173000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9477401030349, 40.5005978447034], [-79.9479653927879, 40.5003799354698], [-79.9480339346088, 40.5004217517971], [-79.9478406954733, 40.5006100542848], [-79.9478096783481, 40.5006402767736], [-79.9477401030349, 40.5005978447034]]]]}",79, ,MAPLEWOOD ST,PITTSBURGH,PA, ,15223,Etna  ,Shaler Area,82702,REGULAR-ETUX OR ET VIR,RESIDENTIAL,TWO FAMILY,2500.0,,10-15-2002,68500.0,U,OTHER VALID,10-04-1968,0.0,,,68600.0,MULTI-FAMILY,2,1920.0,Brick,SHINGLE,Full,D+,BELOW AVERAGE +,FAIR,FAIR,6.0,3.0,1.0,0.0,Central Heat,0.0,0,1276.0,1.0,,2019.0
0167K00117000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9450173390644, 40.49469193986], [-79.9450638175975, 40.4946519076758], [-79.9450863001403, 40.494666992052], [-79.945331412669, 40.4948314460131], [-79.9453007720881, 40.4948576677726], [-79.9452821647457, 40.4948735916866], [-79.9450422768157, 40.4947090454896], [-79.9450173390644, 40.49469193986]]]]}",108, ,CHERRY ST,PITTSBURGH,PA, ,15223,Etna  ,Shaler Area,82702,REGULAR,RESIDENTIAL,ROWHOUSE,2000.0,05-19-2005,05-19-2005,5000.0,0,VALID SALE,03-05-1999,1.0,05-05-1950,0.0,45500.0,ROW END,2,1900.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,FAIR,FAIR,6.0,3.0,1.0,0.0,Central Heat,0.0,0,1674.0,1.0,,2019.0
0221S00089000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9507377247726, 40.5033294820719], [-79.9506469154592, 40.5033317769238], [-79.9506359437364, 40.5030632171934], [-79.950728046658, 40.5030609610966], [-79.9507377247726, 40.5033294820719]]]]}",37, ,DEWEY ST,PITTSBURGH,PA, ,15223,Etna  ,Shaler Area,82701,REGULAR,RESIDENTIAL,SINGLE FAMILY,2500.0,12-26-2006,12-26-2006,81000.0,0,VALID SALE,08-27-1993,60000.0,,,62700.0,OLD STYLE,2,1926.0,Brick,SHINGLE,Full,C,AVERAGE,AVERAGE,FAIR,6.0,3.0,1.0,0.0,Central Heat,0.0,0,1334.0,1.0,,2019.0
0166R00101000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9546814461406, 40.4926599126804], [-79.9548285389494, 40.4925937031974], [-79.9550052875053, 40.4928293800785], [-79.954859972183, 40.4928949614476], [-79.9546814461406, 40.4926599126804]]]]}",141, ,SHERMAN AVE,PITTSBURGH,PA, ,15223,Etna  ,Shaler Area,82702,REGULAR,RESIDENTIAL,SINGLE FAMILY,4800.0,,02-27-1957,0.0,N,NOT APPLICABLE,,,,,77200.0,RANCH,1,1955.0,Brick,SHINGLE,Full,C-,AVERAGE -,AVERAGE,AVERAGE,5.0,2.0,1.0,0.0,Central Heat with AC,0.0,1,900.0,1.0,,2019.0
0167E00195000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9494173768772, 40.4972401183152], [-79.9492712394586, 40.4972411805981], [-79.949264149633, 40.4971174941214], [-79.9494088176146, 40.4970920854719], [-79.9494173768772, 40.4972401183152]]]]}",8, ,JAMES ST,PITTSBURGH,PA, ,15223,Shaler  ,Shaler Area,81201,REGULAR,RESIDENTIAL,SINGLE FAMILY,1978.0,04-19-2010,04-19-2010,82500.0,YY,OTHER,12-31-1992,1.0,,,75700.0,SEMI DETACHED,2,1970.0,Masonry FRAME,SHINGLE,Full,C,AVERAGE,AVERAGE,AVERAGE,5.0,2.0,1.0,0.0,Central Heat,,0,969.0,1.0,,2019.0
0167A00358000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9488689345269, 40.5008944288998], [-79.9492338313058, 40.5008829180849], [-79.9492356969443, 40.5009308644618], [-79.9490683629245, 40.5009363530561], [-79.9488709275365, 40.5009428280944], [-79.9488697795558, 40.5009150141821], [-79.9488689345269, 40.5008944288998]]]]}",185, ,HIGH ST,PITTSBURGH,PA, ,15223,Etna  ,Shaler Area,82702,REGULAR-ETAL,RESIDENTIAL,VACANT LAND,1650.0,01-07-2010,01-07-2010,79900.0,H,MULTI-PARCEL SA,08-05-2008,5000.0,03-31-2008,1556.0,600.0,,,,,,,,,,,,,,,,,,,,,2019.0
0167E00110000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.947689966763, 40.4981087785821], [-79.9476847146863, 40.498038745821], [-79.947774304226, 40.4980388934305], [-79.9479332230133, 40.498014753898], [-79.9479362774265, 40.4980321205122], [-79.9479362837023, 40.4980321308217], [-79.9479775156523, 40.4981036512738], [-79.947689966763, 40.4981087785821]]]]}",80, ,HIGH ST,PITTSBURGH,PA, ,15223,Etna  ,Shaler Area,82702,REGULAR,RESIDENTIAL,SINGLE FAMILY,2409.0,08-04-2005,08-04-2005,47500.0,0,VALID SALE,05-25-1972,0.0,,,50000.0,OLD STYLE,2,1925.0,Frame,SHINGLE,Full,C-,AVERAGE -,AVERAGE,FAIR,5.0,3.0,1.0,1.0,Central Heat with AC,0.0,0,1336.0,1.0,,2019.0
0221M00333000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9528316475274, 40.5054462544864], [-79.9528788024416, 40.5054444877053], [-79.9528788184555, 40.5054444869469], [-79.9528788332821, 40.5054444862111], [-79.9530579641312, 40.5054376431446], [-79.9530579789578, 40.5054376424087], [-79.9530579943781, 40.5054376416616], [-79.9532120360197, 40.5054318021695], [-79.9532169331019, 40.5054440651726], [-79.9532644866792, 40.5055644786417], [-79.9529138615535, 40.505650362243], [-79.9528365698107, 40.5054592724299], [-79.9528316475274, 40.5054462544864]]]]}",101, ,ADELE AVE,PITTSBURGH,PA, ,15223,Shaler  ,Shaler Area,81201,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,6401.0,03-15-2018,02-21-2018,105000.0,14,TIME ON MARKET,12-14-2016,59385.0,05-16-2016,10.0,84000.0,COLONIAL,2,1955.0,Brick,SHINGLE,Full,C,AVERAGE,AVERAGE,AVERAGE,6.0,3.0,1.0,1.0,Central Heat,0.0,1,1232.0,1.0,,2019.0
0222J00283000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9489286120107, 40.5052256854311], [-79.9488197950923, 40.5049638125796], [-79.9489040692892, 40.5049420286447], [-79.9490151364888, 40.5052039506889], [-79.9489286120107, 40.5052256854311]]]]}",17, ,WEIBLE ST,PITTSBURGH,PA, ,15223,Etna  ,Shaler Area,82701,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,2500.0,,07-20-1983,20000.0,0,VALID SALE,,,,,77000.0,OLD STYLE,2,1887.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,AVERAGE,AVERAGE,5.0,3.0,2.0,0.0,Central Heat,0.0,0,1920.0,1.0,,2019.0
0222E00375000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9476554274836, 40.507494584893], [-79.9477248578204, 40.5075001301863], [-79.9481164433966, 40.5073736587206], [-79.9481392309627, 40.5073691988397], [-79.9481443123941, 40.5074284808661], [-79.9481700502207, 40.5077074691438], [-79.9481804829831, 40.5078205357347], [-79.9481852929814, 40.5078714939695], [-79.9482171897925, 40.5079257122249], [-79.9482771816406, 40.5080278834522], [-79.9484506485843, 40.5083278389981], [-79.948597204233, 40.5086161100404], [-79.9478968163361, 40.5086501733576], [-79.9476554274836, 40.507494584893]]]]}",0, ,ELIZABETH ST,PITTSBURGH,PA, ,15223,Shaler  ,Shaler Area,81201,CORPORATION,RESIDENTIAL,VACANT LAND,65340.0,,07-19-1995,1.0,3,LOVE&AFFECTION,,,,,40600.0,,,,,,,,,,,,,,,,,,,,,2019.0
0221S00064000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9527233120936, 40.5032872668384], [-79.9527089450103, 40.5030127753736], [-79.9528032976973, 40.5030105663705], [-79.9528176644238, 40.5032850351666], [-79.9527233120936, 40.5032872668384]]]]}",79, ,DEWEY ST,PITTSBURGH,PA, ,15223,Etna  ,Shaler Area,82701,REGULAR,RESIDENTIAL,SINGLE FAMILY,2600.0,,07-06-2001,61300.0,U,OTHER VALID,,,,,62000.0,OLD STYLE,2,1926.0,Frame,SHINGLE,Full,C-,AVERAGE -,FAIR,AVERAGE,6.0,3.0,1.0,0.0,Central Heat,0.0,0,1276.0,1.0,,2019.0
0222E00104000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9483307104504, 40.5067050310025], [-79.9484264861891, 40.5069659405476], [-79.9482826489009, 40.5069961316715], [-79.9481946664082, 40.5070146216098], [-79.9481828767777, 40.5067358710909], [-79.9483307104504, 40.5067050310025]]]]}",13, ,ROBERTSON PL,PITTSBURGH,PA, ,15223,Etna  ,Shaler Area,82701,CORPORATION,RESIDENTIAL,SINGLE FAMILY,5303.0,11-05-2013,11-05-2013,40000.0,28,OTHER,10-14-1965,0.0,,,40000.0,OLD STYLE,1,1935.0,Brick,SHINGLE,Full,C-,AVERAGE -,AVERAGE,AVERAGE,6.0,3.0,1.0,1.0,Central Heat,1.0,1,1230.0,1.0,,2019.0
